,uuid,Company_Names,census_id,count,uuid_comp
105,50765cb7-d9ea-4e21-99a4-fa879613a492,,120,17,50765cb7-d9ea-4e21-99a4-fa879613a492
106,d954b22d-0031-4b02-b91d-f86c1fbd8d22,,61,17,d954b22d-0031-4b02-b91d-f86c1fbd8d22
107,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,,34,17,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2
108,2686f39c-bada-4658-854a-a62e7e5e8b8d,,871,16,2686f39c-bada-4658-854a-a62e7e5e8b8d
109,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,,847,16,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6
110,89d91339-52a3-405a-9f15-dba920f2726c,,107,16,89d91339-52a3-405a-9f15-dba920f2726c
111,50765cb7-d9ea-4e21-99a4-fa879613a492,,55,16,50765cb7-d9ea-4e21-99a4-fa879613a492
112,5993a94c-7d97-4df7-9abf-e493bfd5d000,,1181,16,5993a94c-7d97-4df7-9abf-e493bfd5d000
113,50765cb7-d9ea-4e21-99a4-fa879613a492,,61,16,50765cb7-d9ea-4e21-99a4-fa879613a492
114,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,22,16,SXSW
115,8a21c76b-74e3-4341-92be-33fcfdefdd63,,130,16,8a21c76b-74e3-4341-92be-33fcfdefdd63
116,2686f39c-bada-4658-854a-a62e7e5e8b8d,,769,15,2686f39c-bada-4658-854a-a62e7e5e8b8d
117,2686f39c-bada-4658-854a-a62e7e5e8b8d,,799,15,2686f39c-bada-4658-854a-a62e7e5e8b8d
118,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,25,15,SXSW
119,50765cb7-d9ea-4e21-99a4-fa879613a492,,874,15,50765cb7-d9ea-4e21-99a4-fa879613a492
120,5993a94c-7d97-4df7-9abf-e493bfd5d000,,767,15,5993a94c-7d97-4df7-9abf-e493bfd5d000
121,2686f39c-bada-4658-854a-a62e7e5e8b8d,,51,15,2686f39c-bada-4658-854a-a62e7e5e8b8d
122,1d19a9f7-66c0-4428-9e61-f2a58b45c6f5,,101,15,1d19a9f7-66c0-4428-9e61-f2a58b45c6f5
123,00009999-0000-1000-8000-00177a000002,,749,15,00009999-0000-1000-8000-00177a000002
124,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,32,15,Glimworm
125,8a21c76b-74e3-4341-92be-33fcfdefdd63,,53,15,8a21c76b-74e3-4341-92be-33fcfdefdd63
126,2686f39c-bada-4658-854a-a62e7e5e8b8d,,23,15,2686f39c-bada-4658-854a-a62e7e5e8b8d
127,264a2992-d007-432e-b4ed-37d6af6e8d04,,141,15,264a2992-d007-432e-b4ed-37d6af6e8d04
128,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,,846,15,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6
129,264a2992-d007-432e-b4ed-37d6af6e8d04,,147,15,264a2992-d007-432e-b4ed-37d6af6e8d04
130,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,767,15,Apple AirLocate
131,8277a5f1-4166-45d1-9f97-905df2a427d5,,25,14,8277a5f1-4166-45d1-9f97-905df2a427d5
132,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,87,14,Glimworm
133,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,73,14,Glimworm
134,50765cb7-d9ea-4e21-99a4-fa879613a492,,969,14,50765cb7-d9ea-4e21-99a4-fa879613a492
135,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,20,14,SXSW
136,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,,147,14,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6
137,50765cb7-d9ea-4e21-99a4-fa879613a492,,77,14,50765cb7-d9ea-4e21-99a4-fa879613a492
138,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,29,13,Glimworm
139,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,855,13,Glimworm
140,50765cb7-d9ea-4e21-99a4-fa879613a492,,800,13,50765cb7-d9ea-4e21-99a4-fa879613a492
141,50765cb7-d9ea-4e21-99a4-fa879613a492,,146,13,50765cb7-d9ea-4e21-99a4-fa879613a492
142,50765cb7-d9ea-4e21-99a4-fa879613a492,,873,13,50765cb7-d9ea-4e21-99a4-fa879613a492
143,8a21c76b-74e3-4341-92be-33fcfdefdd63,,55,13,8a21c76b-74e3-4341-92be-33fcfdefdd63
144,8a21c76b-74e3-4341-92be-33fcfdefdd63,,767,13,8a21c76b-74e3-4341-92be-33fcfdefdd63
145,89d91339-52a3-405a-9f15-dba920f2726c,,101,13,89d91339-52a3-405a-9f15-dba920f2726c
146,50765cb7-d9ea-4e21-99a4-fa879613a492,,122,13,50765cb7-d9ea-4e21-99a4-fa879613a492
147,2686f39c-bada-4658-854a-a62e7e5e8b8d,,135,13,2686f39c-bada-4658-854a-a62e7e5e8b8d
148,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,767,12,Glimworm
149,50765cb7-d9ea-4e21-99a4-fa879613a492,,32,12,50765cb7-d9ea-4e21-99a4-fa879613a492
150,2a955cfd-667b-4ac8-9141-73b9c168da7e,,104,12,2a955cfd-667b-4ac8-9141-73b9c168da7e
151,2686f39c-bada-4658-854a-a62e7e5e8b8d,,773,12,2686f39c-bada-4658-854a-a62e7e5e8b8d
152,2686f39c-bada-4658-854a-a62e7e5e8b8d,,775,12,2686f39c-bada-4658-854a-a62e7e5e8b8d
153,2686f39c-bada-4658-854a-a62e7e5e8b8d,,800,12,2686f39c-bada-4658-854a-a62e7e5e8b8d
154,547eaf8f-ed01-4ac9-ba18-800e320ee03c,,133,12,547eaf8f-ed01-4ac9-ba18-800e320ee03c
155,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,996,12,Glimworm
156,fe913213-b311-4a42-8c16-47faeac938db,Motorola MPact,109,12,Motorola MPact
157,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,120,12,SXSW
158,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,60,12,SXSW
159,2686f39c-bada-4658-854a-a62e7e5e8b8d,,145,12,2686f39c-bada-4658-854a-a62e7e5e8b8d
160,8a21c76b-74e3-4341-92be-33fcfdefdd63,,147,12,8a21c76b-74e3-4341-92be-33fcfdefdd63
161,2686f39c-bada-4658-854a-a62e7e5e8b8d,,29,12,2686f39c-bada-4658-854a-a62e7e5e8b8d
162,8277a5f1-4166-45d1-9f97-905df2a427d5,,32,12,8277a5f1-4166-45d1-9f97-905df2a427d5
163,aa0c1a63-153f-4256-bc10-398508e2b590,,797,11,aa0c1a63-153f-4256-bc10-398508e2b590
164,2686f39c-bada-4658-854a-a62e7e5e8b8d,,805,11,2686f39c-bada-4658-854a-a62e7e5e8b8d
